sweep, beta, subsystem_id, M, E/J
0, 0.300000, 2138, -1.000000, -3200.000000
1, 0.300000, 2138, -0.848750, -2468.000000
2, 0.300000, 2138, -0.711250, -1908.000000
3, 0.300000, 2138, -0.578750, -1580.000000
4, 0.300000, 2138, -0.546250, -1640.000000
5, 0.300000, 2138, -0.465000, -1528.000000
6, 0.300000, 2138, -0.383750, -1312.000000
7, 0.300000, 2138, -0.356250, -1332.000000
8, 0.300000, 2138, -0.263750, -1180.000000
9, 0.300000, 2138, -0.276250, -1180.000000
10, 0.300000, 2138, -0.267500, -1228.000000
11, 0.300000, 2138, -0.218750, -1248.000000
12, 0.300000, 2138, -0.198750, -1232.000000
13, 0.300000, 2138, -0.170000, -1252.000000
14, 0.300000, 2138, -0.153750, -1288.000000
15, 0.300000, 2138, -0.136250, -1192.000000
16, 0.300000, 2138, -0.100000, -1196.000000
17, 0.300000, 2138, -0.068750, -1084.000000
18, 0.300000, 2138, -0.055000, -1108.000000
19, 0.300000, 2138, -0.070000, -1216.000000
20, 0.300000, 2138, -0.021250, -1172.000000
21, 0.300000, 2138, -0.052500, -1188.000000
22, 0.300000, 2138, -0.086250, -1072.000000
23, 0.300000, 2138, -0.092500, -1220.000000
24, 0.300000, 2138, -0.071250, -1228.000000
25, 0.300000, 2138, -0.060000, -1224.000000
26, 0.300000, 2138, 0.038750, -1156.000000
27, 0.300000, 2138, 0.012500, -1148.000000
28, 0.300000, 2138, 0.025000, -1148.000000
29, 0.300000, 2138, 0.013750, -1200.000000
30, 0.300000, 2138, -0.008750, -1096.000000
31, 0.300000, 2138, -0.018750, -1116.000000
32, 0.300000, 2138, -0.060000, -1136.000000
33, 0.300000, 2138, -0.063750, -1188.000000
34, 0.300000, 2138, 0.001250, -1036.000000
35, 0.300000, 2138, -0.027500, -1144.000000
36, 0.300000, 2138, -0.016250, -1180.000000
37, 0.300000, 2138, -0.011250, -1116.000000
38, 0.300000, 2138, 0.006250, -1116.000000
39, 0.300000, 2138, 0.000000, -1012.000000
40, 0.300000, 2138, 0.006250, -1036.000000
41, 0.300000, 2138, 0.001250, -992.000000
42, 0.300000, 2138, -0.041250, -912.000000
43, 0.300000, 2138, 0.048750, -1080.000000
44, 0.300000, 2138, 0.123750, -1116.000000
45, 0.300000, 2138, 0.095000, -1112.000000
46, 0.300000, 2138, 0.072500, -1196.000000
47, 0.300000, 2138, 0.078750, -1120.000000
48, 0.300000, 2138, 0.085000, -1168.000000
49, 0.300000, 2138, 0.120000, -1224.000000
50, 0.300000, 2138, 0.151250, -1188.000000
