sweep, beta, subsystem_id, M, E/J
0, 0.400000, 5144, -1.000000, -3200.000000
1, 0.400000, 5144, -0.941250, -2864.000000
2, 0.400000, 5144, -0.903750, -2692.000000
3, 0.400000, 5144, -0.853750, -2516.000000
4, 0.400000, 5144, -0.806250, -2380.000000
5, 0.400000, 5144, -0.776250, -2236.000000
6, 0.400000, 5144, -0.780000, -2340.000000
7, 0.400000, 5144, -0.786250, -2324.000000
8, 0.400000, 5144, -0.761250, -2208.000000
9, 0.400000, 5144, -0.776250, -2236.000000
10, 0.400000, 5144, -0.803750, -2256.000000
11, 0.400000, 5144, -0.790000, -2300.000000
12, 0.400000, 5144, -0.775000, -2276.000000
13, 0.400000, 5144, -0.730000, -2152.000000
14, 0.400000, 5144, -0.702500, -2048.000000
15, 0.400000, 5144, -0.745000, -2164.000000
16, 0.400000, 5144, -0.722500, -2128.000000
17, 0.400000, 5144, -0.722500, -2196.000000
18, 0.400000, 5144, -0.748750, -2248.000000
19, 0.400000, 5144, -0.740000, -2224.000000
20, 0.400000, 5144, -0.698750, -2120.000000
21, 0.400000, 5144, -0.706250, -2064.000000
22, 0.400000, 5144, -0.680000, -2048.000000
23, 0.400000, 5144, -0.666250, -1920.000000
24, 0.400000, 5144, -0.633750, -1884.000000
25, 0.400000, 5144, -0.645000, -1956.000000
26, 0.400000, 5144, -0.602500, -2020.000000
27, 0.400000, 5144, -0.612500, -1984.000000
28, 0.400000, 5144, -0.596250, -1988.000000
29, 0.400000, 5144, -0.598750, -1928.000000
30, 0.400000, 5144, -0.591250, -1852.000000
31, 0.400000, 5144, -0.610000, -1940.000000
32, 0.400000, 5144, -0.596250, -1908.000000
33, 0.400000, 5144, -0.572500, -1908.000000
34, 0.400000, 5144, -0.581250, -1944.000000
35, 0.400000, 5144, -0.575000, -1876.000000
36, 0.400000, 5144, -0.538750, -1872.000000
37, 0.400000, 5144, -0.478750, -1820.000000
38, 0.400000, 5144, -0.465000, -1780.000000
39, 0.400000, 5144, -0.473750, -1792.000000
40, 0.400000, 5144, -0.436250, -1824.000000
41, 0.400000, 5144, -0.398750, -1724.000000
42, 0.400000, 5144, -0.417500, -1772.000000
43, 0.400000, 5144, -0.418750, -1768.000000
44, 0.400000, 5144, -0.422500, -1856.000000
45, 0.400000, 5144, -0.438750, -1868.000000
46, 0.400000, 5144, -0.405000, -1804.000000
47, 0.400000, 5144, -0.400000, -1768.000000
48, 0.400000, 5144, -0.395000, -1868.000000
49, 0.400000, 5144, -0.405000, -1852.000000
50, 0.400000, 5144, -0.416250, -1924.000000
