sweep, beta, subsystem_id, M, E/J
0, 0.400000, 7507, -1.000000, -3200.000000
1, 0.400000, 7507, -0.923750, -2772.000000
2, 0.400000, 7507, -0.885000, -2640.000000
3, 0.400000, 7507, -0.873750, -2596.000000
4, 0.400000, 7507, -0.840000, -2416.000000
5, 0.400000, 7507, -0.801250, -2268.000000
6, 0.400000, 7507, -0.781250, -2224.000000
7, 0.400000, 7507, -0.806250, -2320.000000
8, 0.400000, 7507, -0.802500, -2380.000000
9, 0.400000, 7507, -0.761250, -2280.000000
10, 0.400000, 7507, -0.707500, -2108.000000
11, 0.400000, 7507, -0.700000, -2152.000000
12, 0.400000, 7507, -0.648750, -2044.000000
13, 0.400000, 7507, -0.621250, -2000.000000
14, 0.400000, 7507, -0.640000, -2020.000000
15, 0.400000, 7507, -0.662500, -2028.000000
16, 0.400000, 7507, -0.631250, -2068.000000
17, 0.400000, 7507, -0.632500, -2016.000000
18, 0.400000, 7507, -0.632500, -2032.000000
19, 0.400000, 7507, -0.617500, -1952.000000
20, 0.400000, 7507, -0.571250, -1872.000000
21, 0.400000, 7507, -0.538750, -1800.000000
22, 0.400000, 7507, -0.590000, -1968.000000
23, 0.400000, 7507, -0.600000, -1932.000000
24, 0.400000, 7507, -0.558750, -1928.000000
25, 0.400000, 7507, -0.543750, -1932.000000
26, 0.400000, 7507, -0.593750, -1956.000000
27, 0.400000, 7507, -0.606250, -1908.000000
28, 0.400000, 7507, -0.600000, -1976.000000
29, 0.400000, 7507, -0.617500, -2004.000000
30, 0.400000, 7507, -0.627500, -1948.000000
31, 0.400000, 7507, -0.623750, -1908.000000
32, 0.400000, 7507, -0.605000, -1992.000000
33, 0.400000, 7507, -0.571250, -1932.000000
34, 0.400000, 7507, -0.601250, -2008.000000
35, 0.400000, 7507, -0.606250, -2012.000000
36, 0.400000, 7507, -0.622500, -2012.000000
37, 0.400000, 7507, -0.577500, -2028.000000
38, 0.400000, 7507, -0.532500, -1892.000000
39, 0.400000, 7507, -0.530000, -1924.000000
40, 0.400000, 7507, -0.473750, -1872.000000
41, 0.400000, 7507, -0.456250, -1784.000000
42, 0.400000, 7507, -0.456250, -1852.000000
43, 0.400000, 7507, -0.448750, -1912.000000
44, 0.400000, 7507, -0.477500, -1976.000000
45, 0.400000, 7507, -0.463750, -1932.000000
46, 0.400000, 7507, -0.448750, -1872.000000
47, 0.400000, 7507, -0.412500, -1884.000000
48, 0.400000, 7507, -0.431250, -1908.000000
49, 0.400000, 7507, -0.398750, -1840.000000
50, 0.400000, 7507, -0.413750, -1856.000000
