sweep, beta, subsystem_id, M, E/J
0, 0.400000, 8668, -1.000000, -3200.000000
1, 0.400000, 8668, -0.946250, -2912.000000
2, 0.400000, 8668, -0.871250, -2592.000000
3, 0.400000, 8668, -0.850000, -2512.000000
4, 0.400000, 8668, -0.810000, -2336.000000
5, 0.400000, 8668, -0.805000, -2340.000000
6, 0.400000, 8668, -0.795000, -2256.000000
7, 0.400000, 8668, -0.800000, -2316.000000
8, 0.400000, 8668, -0.770000, -2288.000000
9, 0.400000, 8668, -0.741250, -2276.000000
10, 0.400000, 8668, -0.742500, -2208.000000
11, 0.400000, 8668, -0.735000, -2164.000000
12, 0.400000, 8668, -0.740000, -2244.000000
13, 0.400000, 8668, -0.725000, -2196.000000
14, 0.400000, 8668, -0.693750, -2096.000000
15, 0.400000, 8668, -0.658750, -2120.000000
16, 0.400000, 8668, -0.607500, -2028.000000
17, 0.400000, 8668, -0.645000, -2040.000000
18, 0.400000, 8668, -0.666250, -2052.000000
19, 0.400000, 8668, -0.657500, -2076.000000
20, 0.400000, 8668, -0.640000, -2112.000000
21, 0.400000, 8668, -0.636250, -2084.000000
22, 0.400000, 8668, -0.628750, -2088.000000
23, 0.400000, 8668, -0.611250, -2088.000000
24, 0.400000, 8668, -0.561250, -1988.000000
25, 0.400000, 8668, -0.563750, -1944.000000
26, 0.400000, 8668, -0.545000, -1928.000000
27, 0.400000, 8668, -0.538750, -1780.000000
28, 0.400000, 8668, -0.506250, -1828.000000
29, 0.400000, 8668, -0.532500, -1916.000000
30, 0.400000, 8668, -0.510000, -1924.000000
31, 0.400000, 8668, -0.490000, -1876.000000
32, 0.400000, 8668, -0.472500, -1980.000000
33, 0.400000, 8668, -0.471250, -1904.000000
34, 0.400000, 8668, -0.462500, -1888.000000
35, 0.400000, 8668, -0.492500, -1924.000000
36, 0.400000, 8668, -0.517500, -1976.000000
37, 0.400000, 8668, -0.506250, -1968.000000
38, 0.400000, 8668, -0.516250, -1928.000000
39, 0.400000, 8668, -0.523750, -1904.000000
40, 0.400000, 8668, -0.531250, -1872.000000
41, 0.400000, 8668, -0.548750, -2024.000000
42, 0.400000, 8668, -0.536250, -1888.000000
43, 0.400000, 8668, -0.517500, -1836.000000
44, 0.400000, 8668, -0.500000, -1908.000000
45, 0.400000, 8668, -0.515000, -1920.000000
46, 0.400000, 8668, -0.466250, -1856.000000
47, 0.400000, 8668, -0.396250, -1720.000000
48, 0.400000, 8668, -0.336250, -1728.000000
49, 0.400000, 8668, -0.355000, -1732.000000
50, 0.400000, 8668, -0.358750, -1740.000000
