sweep, beta, subsystem_id, M, E/J
0, 0.400000, 1202, -1.000000, -3200.000000
1, 0.400000, 1202, -0.942500, -2860.000000
2, 0.400000, 1202, -0.888750, -2656.000000
3, 0.400000, 1202, -0.891250, -2632.000000
4, 0.400000, 1202, -0.875000, -2580.000000
5, 0.400000, 1202, -0.835000, -2444.000000
6, 0.400000, 1202, -0.817500, -2344.000000
7, 0.400000, 1202, -0.773750, -2292.000000
8, 0.400000, 1202, -0.775000, -2284.000000
9, 0.400000, 1202, -0.720000, -2108.000000
10, 0.400000, 1202, -0.727500, -2176.000000
11, 0.400000, 1202, -0.738750, -2128.000000
12, 0.400000, 1202, -0.706250, -2016.000000
13, 0.400000, 1202, -0.697500, -2040.000000
14, 0.400000, 1202, -0.658750, -1996.000000
15, 0.400000, 1202, -0.660000, -2048.000000
16, 0.400000, 1202, -0.683750, -2132.000000
17, 0.400000, 1202, -0.696250, -2172.000000
18, 0.400000, 1202, -0.683750, -2044.000000
19, 0.400000, 1202, -0.706250, -2128.000000
20, 0.400000, 1202, -0.692500, -2072.000000
21, 0.400000, 1202, -0.650000, -2092.000000
22, 0.400000, 1202, -0.628750, -2036.000000
23, 0.400000, 1202, -0.622500, -1952.000000
24, 0.400000, 1202, -0.600000, -1952.000000
25, 0.400000, 1202, -0.557500, -1924.000000
26, 0.400000, 1202, -0.567500, -1896.000000
27, 0.400000, 1202, -0.552500, -1860.000000
28, 0.400000, 1202, -0.557500, -1912.000000
29, 0.400000, 1202, -0.528750, -1776.000000
30, 0.400000, 1202, -0.545000, -1812.000000
31, 0.400000, 1202, -0.540000, -1848.000000
32, 0.400000, 1202, -0.497500, -1836.000000
33, 0.400000, 1202, -0.480000, -1792.000000
34, 0.400000, 1202, -0.511250, -1860.000000
35, 0.400000, 1202, -0.573750, -1908.000000
36, 0.400000, 1202, -0.557500, -1928.000000
37, 0.400000, 1202, -0.548750, -1880.000000
38, 0.400000, 1202, -0.515000, -1880.000000
39, 0.400000, 1202, -0.532500, -1936.000000
40, 0.400000, 1202, -0.547500, -2000.000000
41, 0.400000, 1202, -0.522500, -1988.000000
42, 0.400000, 1202, -0.523750, -2028.000000
43, 0.400000, 1202, -0.518750, -1896.000000
44, 0.400000, 1202, -0.476250, -1856.000000
45, 0.400000, 1202, -0.507500, -1908.000000
46, 0.400000, 1202, -0.537500, -1956.000000
47, 0.400000, 1202, -0.562500, -2008.000000
48, 0.400000, 1202, -0.581250, -1948.000000
49, 0.400000, 1202, -0.586250, -1988.000000
50, 0.400000, 1202, -0.550000, -1968.000000
