sweep, beta, subsystem_id, M, E/J
0, 0.300000, 2216, -1.000000, -3200.000000
1, 0.300000, 2216, -0.842500, -2380.000000
2, 0.300000, 2216, -0.761250, -2108.000000
3, 0.300000, 2216, -0.623750, -1752.000000
4, 0.300000, 2216, -0.540000, -1572.000000
5, 0.300000, 2216, -0.483750, -1524.000000
6, 0.300000, 2216, -0.416250, -1468.000000
7, 0.300000, 2216, -0.412500, -1388.000000
8, 0.300000, 2216, -0.343750, -1372.000000
9, 0.300000, 2216, -0.273750, -1232.000000
10, 0.300000, 2216, -0.221250, -1112.000000
11, 0.300000, 2216, -0.208750, -1076.000000
12, 0.300000, 2216, -0.260000, -1188.000000
13, 0.300000, 2216, -0.240000, -1184.000000
14, 0.300000, 2216, -0.226250, -1224.000000
15, 0.300000, 2216, -0.208750, -1128.000000
16, 0.300000, 2216, -0.158750, -1096.000000
17, 0.300000, 2216, -0.067500, -1116.000000
18, 0.300000, 2216, -0.096250, -1068.000000
19, 0.300000, 2216, -0.118750, -1088.000000
20, 0.300000, 2216, -0.130000, -1084.000000
21, 0.300000, 2216, -0.183750, -1084.000000
22, 0.300000, 2216, -0.176250, -1092.000000
23, 0.300000, 2216, -0.136250, -1076.000000
24, 0.300000, 2216, -0.142500, -1060.000000
25, 0.300000, 2216, -0.087500, -1064.000000
26, 0.300000, 2216, -0.008750, -924.000000
27, 0.300000, 2216, 0.010000, -1056.000000
28, 0.300000, 2216, -0.033750, -1176.000000
29, 0.300000, 2216, 0.032500, -1144.000000
30, 0.300000, 2216, 0.020000, -1144.000000
31, 0.300000, 2216, -0.065000, -1116.000000
32, 0.300000, 2216, -0.121250, -1060.000000
33, 0.300000, 2216, -0.163750, -1144.000000
34, 0.300000, 2216, -0.142500, -1088.000000
35, 0.300000, 2216, -0.120000, -1148.000000
36, 0.300000, 2216, -0.085000, -1016.000000
37, 0.300000, 2216, -0.078750, -1040.000000
38, 0.300000, 2216, -0.068750, -1024.000000
39, 0.300000, 2216, -0.033750, -1176.000000
40, 0.300000, 2216, 0.005000, -1120.000000
41, 0.300000, 2216, 0.021250, -1156.000000
42, 0.300000, 2216, 0.000000, -1136.000000
43, 0.300000, 2216, 0.005000, -1180.000000
44, 0.300000, 2216, -0.010000, -1128.000000
45, 0.300000, 2216, -0.002500, -1192.000000
46, 0.300000, 2216, -0.031250, -1184.000000
47, 0.300000, 2216, -0.063750, -1224.000000
48, 0.300000, 2216, -0.056250, -1208.000000
49, 0.300000, 2216, 0.021250, -1164.000000
50, 0.300000, 2216, 0.015000, -1088.000000
