sweep, beta, subsystem_id, M, E/J
0, 0.400000, 2904, -1.000000, -3200.000000
1, 0.400000, 2904, -0.931250, -2804.000000
2, 0.400000, 2904, -0.873750, -2588.000000
3, 0.400000, 2904, -0.848750, -2476.000000
4, 0.400000, 2904, -0.827500, -2388.000000
5, 0.400000, 2904, -0.800000, -2360.000000
6, 0.400000, 2904, -0.800000, -2420.000000
7, 0.400000, 2904, -0.788750, -2356.000000
8, 0.400000, 2904, -0.793750, -2340.000000
9, 0.400000, 2904, -0.778750, -2316.000000
10, 0.400000, 2904, -0.777500, -2296.000000
11, 0.400000, 2904, -0.772500, -2304.000000
12, 0.400000, 2904, -0.752500, -2252.000000
13, 0.400000, 2904, -0.703750, -2100.000000
14, 0.400000, 2904, -0.713750, -2112.000000
15, 0.400000, 2904, -0.738750, -2172.000000
16, 0.400000, 2904, -0.721250, -2204.000000
17, 0.400000, 2904, -0.703750, -2088.000000
18, 0.400000, 2904, -0.663750, -2016.000000
19, 0.400000, 2904, -0.672500, -2100.000000
20, 0.400000, 2904, -0.651250, -2100.000000
21, 0.400000, 2904, -0.638750, -2072.000000
22, 0.400000, 2904, -0.688750, -2184.000000
23, 0.400000, 2904, -0.708750, -2304.000000
24, 0.400000, 2904, -0.661250, -2152.000000
25, 0.400000, 2904, -0.668750, -2108.000000
26, 0.400000, 2904, -0.681250, -2100.000000
27, 0.400000, 2904, -0.703750, -2080.000000
28, 0.400000, 2904, -0.673750, -2000.000000
29, 0.400000, 2904, -0.646250, -1936.000000
30, 0.400000, 2904, -0.642500, -1900.000000
31, 0.400000, 2904, -0.657500, -2000.000000
32, 0.400000, 2904, -0.648750, -2036.000000
33, 0.400000, 2904, -0.640000, -2012.000000
34, 0.400000, 2904, -0.632500, -1976.000000
35, 0.400000, 2904, -0.598750, -1996.000000
36, 0.400000, 2904, -0.588750, -1984.000000
37, 0.400000, 2904, -0.588750, -1940.000000
38, 0.400000, 2904, -0.580000, -1964.000000
39, 0.400000, 2904, -0.602500, -2016.000000
40, 0.400000, 2904, -0.588750, -1996.000000
41, 0.400000, 2904, -0.563750, -1960.000000
42, 0.400000, 2904, -0.557500, -1944.000000
43, 0.400000, 2904, -0.575000, -1968.000000
44, 0.400000, 2904, -0.567500, -2016.000000
45, 0.400000, 2904, -0.541250, -1980.000000
46, 0.400000, 2904, -0.505000, -1932.000000
47, 0.400000, 2904, -0.500000, -1872.000000
48, 0.400000, 2904, -0.521250, -1940.000000
49, 0.400000, 2904, -0.487500, -1808.000000
50, 0.400000, 2904, -0.527500, -1892.000000
