sweep, beta, subsystem_id, M, E/J
0, 0.400000, 4633, -1.000000, -3200.000000
1, 0.400000, 4633, -0.927500, -2808.000000
2, 0.400000, 4633, -0.898750, -2664.000000
3, 0.400000, 4633, -0.866250, -2556.000000
4, 0.400000, 4633, -0.832500, -2488.000000
5, 0.400000, 4633, -0.808750, -2352.000000
6, 0.400000, 4633, -0.815000, -2420.000000
7, 0.400000, 4633, -0.817500, -2432.000000
8, 0.400000, 4633, -0.773750, -2268.000000
9, 0.400000, 4633, -0.772500, -2264.000000
10, 0.400000, 4633, -0.762500, -2224.000000
11, 0.400000, 4633, -0.748750, -2204.000000
12, 0.400000, 4633, -0.756250, -2176.000000
13, 0.400000, 4633, -0.763750, -2204.000000
14, 0.400000, 4633, -0.741250, -2168.000000
15, 0.400000, 4633, -0.726250, -2124.000000
16, 0.400000, 4633, -0.736250, -2144.000000
17, 0.400000, 4633, -0.762500, -2256.000000
18, 0.400000, 4633, -0.760000, -2276.000000
19, 0.400000, 4633, -0.750000, -2252.000000
20, 0.400000, 4633, -0.721250, -2136.000000
21, 0.400000, 4633, -0.712500, -2176.000000
22, 0.400000, 4633, -0.717500, -2164.000000
23, 0.400000, 4633, -0.680000, -2112.000000
24, 0.400000, 4633, -0.690000, -2168.000000
25, 0.400000, 4633, -0.643750, -2076.000000
26, 0.400000, 4633, -0.583750, -1936.000000
27, 0.400000, 4633, -0.552500, -1892.000000
28, 0.400000, 4633, -0.521250, -1884.000000
29, 0.400000, 4633, -0.503750, -1804.000000
30, 0.400000, 4633, -0.506250, -1748.000000
31, 0.400000, 4633, -0.493750, -1784.000000
32, 0.400000, 4633, -0.476250, -1852.000000
33, 0.400000, 4633, -0.472500, -1896.000000
34, 0.400000, 4633, -0.436250, -1848.000000
35, 0.400000, 4633, -0.456250, -1856.000000
36, 0.400000, 4633, -0.425000, -1808.000000
37, 0.400000, 4633, -0.437500, -1792.000000
38, 0.400000, 4633, -0.381250, -1696.000000
39, 0.400000, 4633, -0.387500, -1696.000000
40, 0.400000, 4633, -0.373750, -1820.000000
41, 0.400000, 4633, -0.323750, -1752.000000
42, 0.400000, 4633, -0.297500, -1736.000000
43, 0.400000, 4633, -0.255000, -1768.000000
44, 0.400000, 4633, -0.298750, -1848.000000
45, 0.400000, 4633, -0.297500, -1884.000000
46, 0.400000, 4633, -0.288750, -1868.000000
47, 0.400000, 4633, -0.243750, -1856.000000
48, 0.400000, 4633, -0.258750, -1804.000000
49, 0.400000, 4633, -0.255000, -1856.000000
50, 0.400000, 4633, -0.220000, -1788.000000
