sweep, beta, subsystem_id, M, E/J
0, 0.300000, 6844, -1.000000, -3200.000000
1, 0.300000, 6844, -0.846250, -2372.000000
2, 0.300000, 6844, -0.691250, -1880.000000
3, 0.300000, 6844, -0.606250, -1696.000000
4, 0.300000, 6844, -0.488750, -1492.000000
5, 0.300000, 6844, -0.417500, -1344.000000
6, 0.300000, 6844, -0.373750, -1292.000000
7, 0.300000, 6844, -0.337500, -1224.000000
8, 0.300000, 6844, -0.290000, -1144.000000
9, 0.300000, 6844, -0.291250, -1196.000000
10, 0.300000, 6844, -0.232500, -1188.000000
11, 0.300000, 6844, -0.156250, -1072.000000
12, 0.300000, 6844, -0.151250, -1120.000000
13, 0.300000, 6844, -0.125000, -1048.000000
14, 0.300000, 6844, -0.087500, -1072.000000
15, 0.300000, 6844, -0.073750, -1208.000000
16, 0.300000, 6844, -0.071250, -1044.000000
17, 0.300000, 6844, -0.132500, -1088.000000
18, 0.300000, 6844, -0.130000, -1020.000000
19, 0.300000, 6844, -0.152500, -1036.000000
20, 0.300000, 6844, -0.102500, -1060.000000
21, 0.300000, 6844, -0.018750, -1056.000000
22, 0.300000, 6844, -0.077500, -1080.000000
23, 0.300000, 6844, -0.052500, -1136.000000
24, 0.300000, 6844, -0.061250, -1116.000000
25, 0.300000, 6844, 0.012500, -1064.000000
26, 0.300000, 6844, -0.007500, -1032.000000
27, 0.300000, 6844, 0.028750, -1024.000000
28, 0.300000, 6844, -0.012500, -896.000000
29, 0.300000, 6844, -0.031250, -1040.000000
30, 0.300000, 6844, -0.012500, -992.000000
31, 0.300000, 6844, -0.033750, -992.000000
32, 0.300000, 6844, -0.055000, -920.000000
33, 0.300000, 6844, -0.045000, -1140.000000
34, 0.300000, 6844, -0.018750, -1092.000000
35, 0.300000, 6844, -0.026250, -1076.000000
36, 0.300000, 6844, -0.007500, -1096.000000
37, 0.300000, 6844, -0.087500, -1040.000000
38, 0.300000, 6844, -0.103750, -1156.000000
39, 0.300000, 6844, -0.061250, -1048.000000
40, 0.300000, 6844, -0.012500, -972.000000
41, 0.300000, 6844, -0.032500, -1144.000000
42, 0.300000, 6844, -0.013750, -1032.000000
43, 0.300000, 6844, -0.066250, -1116.000000
44, 0.300000, 6844, -0.107500, -1100.000000
45, 0.300000, 6844, -0.110000, -1088.000000
46, 0.300000, 6844, -0.068750, -1116.000000
47, 0.300000, 6844, -0.033750, -992.000000
48, 0.300000, 6844, -0.020000, -972.000000
49, 0.300000, 6844, -0.010000, -1084.000000
50, 0.300000, 6844, -0.043750, -1068.000000
