sweep, beta, subsystem_id, M, E/J
0, 0.300000, 4681, -1.000000, -3200.000000
1, 0.300000, 4681, -0.843750, -2400.000000
2, 0.300000, 4681, -0.741250, -2024.000000
3, 0.300000, 4681, -0.631250, -1736.000000
4, 0.300000, 4681, -0.535000, -1536.000000
5, 0.300000, 4681, -0.505000, -1464.000000
6, 0.300000, 4681, -0.422500, -1396.000000
7, 0.300000, 4681, -0.308750, -1300.000000
8, 0.300000, 4681, -0.287500, -1276.000000
9, 0.300000, 4681, -0.298750, -1408.000000
10, 0.300000, 4681, -0.270000, -1312.000000
11, 0.300000, 4681, -0.258750, -1264.000000
12, 0.300000, 4681, -0.232500, -1276.000000
13, 0.300000, 4681, -0.133750, -1192.000000
14, 0.300000, 4681, -0.046250, -1140.000000
15, 0.300000, 4681, 0.038750, -1084.000000
16, 0.300000, 4681, -0.007500, -1076.000000
17, 0.300000, 4681, 0.022500, -1140.000000
18, 0.300000, 4681, -0.007500, -1236.000000
19, 0.300000, 4681, -0.017500, -1260.000000
20, 0.300000, 4681, -0.053750, -1292.000000
21, 0.300000, 4681, -0.048750, -1232.000000
22, 0.300000, 4681, -0.060000, -1284.000000
23, 0.300000, 4681, -0.060000, -1228.000000
24, 0.300000, 4681, -0.032500, -1164.000000
25, 0.300000, 4681, -0.081250, -1236.000000
26, 0.300000, 4681, -0.073750, -1104.000000
27, 0.300000, 4681, -0.056250, -1012.000000
28, 0.300000, 4681, -0.037500, -1032.000000
29, 0.300000, 4681, -0.028750, -1124.000000
30, 0.300000, 4681, 0.030000, -1076.000000
31, 0.300000, 4681, 0.035000, -1072.000000
32, 0.300000, 4681, -0.023750, -1064.000000
33, 0.300000, 4681, -0.020000, -1072.000000
34, 0.300000, 4681, -0.046250, -1040.000000
35, 0.300000, 4681, -0.060000, -1100.000000
36, 0.300000, 4681, -0.071250, -1144.000000
37, 0.300000, 4681, -0.076250, -1224.000000
38, 0.300000, 4681, -0.017500, -1252.000000
39, 0.300000, 4681, -0.033750, -1136.000000
40, 0.300000, 4681, 0.025000, -1100.000000
41, 0.300000, 4681, 0.060000, -1108.000000
42, 0.300000, 4681, 0.018750, -1164.000000
43, 0.300000, 4681, 0.010000, -1092.000000
44, 0.300000, 4681, -0.013750, -1044.000000
45, 0.300000, 4681, -0.008750, -1104.000000
46, 0.300000, 4681, -0.012500, -1208.000000
47, 0.300000, 4681, 0.000000, -1324.000000
48, 0.300000, 4681, 0.006250, -1240.000000
49, 0.300000, 4681, 0.001250, -1108.000000
50, 0.300000, 4681, -0.028750, -1268.000000
