sweep, beta, subsystem_id, M, E/J
0, 0.400000, 4951, -1.000000, -3200.000000
1, 0.400000, 4951, -0.932500, -2800.000000
2, 0.400000, 4951, -0.883750, -2580.000000
3, 0.400000, 4951, -0.878750, -2584.000000
4, 0.400000, 4951, -0.806250, -2368.000000
5, 0.400000, 4951, -0.792500, -2324.000000
6, 0.400000, 4951, -0.768750, -2292.000000
7, 0.400000, 4951, -0.737500, -2176.000000
8, 0.400000, 4951, -0.706250, -2060.000000
9, 0.400000, 4951, -0.675000, -2080.000000
10, 0.400000, 4951, -0.635000, -1892.000000
11, 0.400000, 4951, -0.595000, -1912.000000
12, 0.400000, 4951, -0.593750, -1844.000000
13, 0.400000, 4951, -0.618750, -1872.000000
14, 0.400000, 4951, -0.618750, -1872.000000
15, 0.400000, 4951, -0.598750, -1936.000000
16, 0.400000, 4951, -0.616250, -1980.000000
17, 0.400000, 4951, -0.642500, -1976.000000
18, 0.400000, 4951, -0.601250, -1988.000000
19, 0.400000, 4951, -0.580000, -1904.000000
20, 0.400000, 4951, -0.563750, -1936.000000
21, 0.400000, 4951, -0.602500, -1968.000000
22, 0.400000, 4951, -0.635000, -2088.000000
23, 0.400000, 4951, -0.602500, -1996.000000
24, 0.400000, 4951, -0.588750, -1940.000000
25, 0.400000, 4951, -0.617500, -1976.000000
26, 0.400000, 4951, -0.632500, -2112.000000
27, 0.400000, 4951, -0.583750, -2020.000000
28, 0.400000, 4951, -0.562500, -1992.000000
29, 0.400000, 4951, -0.557500, -1940.000000
30, 0.400000, 4951, -0.501250, -1848.000000
31, 0.400000, 4951, -0.475000, -1732.000000
32, 0.400000, 4951, -0.440000, -1660.000000
33, 0.400000, 4951, -0.438750, -1704.000000
34, 0.400000, 4951, -0.462500, -1744.000000
35, 0.400000, 4951, -0.472500, -1744.000000
36, 0.400000, 4951, -0.512500, -1804.000000
37, 0.400000, 4951, -0.517500, -1856.000000
38, 0.400000, 4951, -0.512500, -1984.000000
39, 0.400000, 4951, -0.475000, -1948.000000
40, 0.400000, 4951, -0.498750, -1976.000000
41, 0.400000, 4951, -0.415000, -1720.000000
42, 0.400000, 4951, -0.427500, -1780.000000
43, 0.400000, 4951, -0.478750, -1924.000000
44, 0.400000, 4951, -0.487500, -1888.000000
45, 0.400000, 4951, -0.476250, -1876.000000
46, 0.400000, 4951, -0.463750, -1836.000000
47, 0.400000, 4951, -0.437500, -1728.000000
48, 0.400000, 4951, -0.417500, -1840.000000
49, 0.400000, 4951, -0.425000, -1936.000000
50, 0.400000, 4951, -0.422500, -1888.000000
