sweep, beta, subsystem_id, M, E/J
0, 0.400000, 540, -1.000000, -3200.000000
1, 0.400000, 540, -0.937500, -2840.000000
2, 0.400000, 540, -0.883750, -2572.000000
3, 0.400000, 540, -0.868750, -2540.000000
4, 0.400000, 540, -0.813750, -2328.000000
5, 0.400000, 540, -0.796250, -2316.000000
6, 0.400000, 540, -0.792500, -2352.000000
7, 0.400000, 540, -0.780000, -2288.000000
8, 0.400000, 540, -0.737500, -2096.000000
9, 0.400000, 540, -0.752500, -2140.000000
10, 0.400000, 540, -0.752500, -2192.000000
11, 0.400000, 540, -0.706250, -2132.000000
12, 0.400000, 540, -0.677500, -2076.000000
13, 0.400000, 540, -0.668750, -2076.000000
14, 0.400000, 540, -0.653750, -2000.000000
15, 0.400000, 540, -0.647500, -2020.000000
16, 0.400000, 540, -0.627500, -1912.000000
17, 0.400000, 540, -0.613750, -1836.000000
18, 0.400000, 540, -0.631250, -1984.000000
19, 0.400000, 540, -0.657500, -2008.000000
20, 0.400000, 540, -0.677500, -2108.000000
21, 0.400000, 540, -0.633750, -2060.000000
22, 0.400000, 540, -0.628750, -2088.000000
23, 0.400000, 540, -0.602500, -2032.000000
24, 0.400000, 540, -0.577500, -2008.000000
25, 0.400000, 540, -0.577500, -1996.000000
26, 0.400000, 540, -0.548750, -2064.000000
27, 0.400000, 540, -0.551250, -2088.000000
28, 0.400000, 540, -0.561250, -1996.000000
29, 0.400000, 540, -0.541250, -2012.000000
30, 0.400000, 540, -0.511250, -1984.000000
31, 0.400000, 540, -0.515000, -1940.000000
32, 0.400000, 540, -0.510000, -1888.000000
33, 0.400000, 540, -0.506250, -1964.000000
34, 0.400000, 540, -0.547500, -2032.000000
35, 0.400000, 540, -0.517500, -1884.000000
36, 0.400000, 540, -0.528750, -1932.000000
37, 0.400000, 540, -0.533750, -1992.000000
38, 0.400000, 540, -0.541250, -1988.000000
39, 0.400000, 540, -0.543750, -1952.000000
40, 0.400000, 540, -0.508750, -1924.000000
41, 0.400000, 540, -0.518750, -1916.000000
42, 0.400000, 540, -0.571250, -2048.000000
43, 0.400000, 540, -0.570000, -1984.000000
44, 0.400000, 540, -0.532500, -1916.000000
45, 0.400000, 540, -0.538750, -1948.000000
46, 0.400000, 540, -0.587500, -2048.000000
47, 0.400000, 540, -0.545000, -2092.000000
48, 0.400000, 540, -0.563750, -2052.000000
49, 0.400000, 540, -0.506250, -1852.000000
50, 0.400000, 540, -0.481250, -1904.000000
