sweep, beta, subsystem_id, M, E/J
0, 0.400000, 9765, -1.000000, -3200.000000
1, 0.400000, 9765, -0.902500, -2716.000000
2, 0.400000, 9765, -0.875000, -2588.000000
3, 0.400000, 9765, -0.866250, -2560.000000
4, 0.400000, 9765, -0.851250, -2504.000000
5, 0.400000, 9765, -0.801250, -2368.000000
6, 0.400000, 9765, -0.742500, -2248.000000
7, 0.400000, 9765, -0.705000, -2172.000000
8, 0.400000, 9765, -0.703750, -2136.000000
9, 0.400000, 9765, -0.710000, -2132.000000
10, 0.400000, 9765, -0.701250, -2100.000000
11, 0.400000, 9765, -0.695000, -2060.000000
12, 0.400000, 9765, -0.676250, -1992.000000
13, 0.400000, 9765, -0.637500, -1916.000000
14, 0.400000, 9765, -0.671250, -1944.000000
15, 0.400000, 9765, -0.623750, -1928.000000
16, 0.400000, 9765, -0.576250, -1872.000000
17, 0.400000, 9765, -0.583750, -1896.000000
18, 0.400000, 9765, -0.530000, -1868.000000
19, 0.400000, 9765, -0.486250, -1848.000000
20, 0.400000, 9765, -0.466250, -1752.000000
21, 0.400000, 9765, -0.500000, -1828.000000
22, 0.400000, 9765, -0.567500, -1940.000000
23, 0.400000, 9765, -0.582500, -1996.000000
24, 0.400000, 9765, -0.562500, -1948.000000
25, 0.400000, 9765, -0.595000, -1980.000000
26, 0.400000, 9765, -0.567500, -1904.000000
27, 0.400000, 9765, -0.590000, -1908.000000
28, 0.400000, 9765, -0.603750, -1980.000000
29, 0.400000, 9765, -0.606250, -2016.000000
30, 0.400000, 9765, -0.571250, -2040.000000
31, 0.400000, 9765, -0.600000, -2024.000000
32, 0.400000, 9765, -0.587500, -1912.000000
33, 0.400000, 9765, -0.608750, -1940.000000
34, 0.400000, 9765, -0.517500, -1828.000000
35, 0.400000, 9765, -0.497500, -1844.000000
36, 0.400000, 9765, -0.531250, -1796.000000
37, 0.400000, 9765, -0.485000, -1836.000000
38, 0.400000, 9765, -0.437500, -1832.000000
39, 0.400000, 9765, -0.446250, -1968.000000
40, 0.400000, 9765, -0.436250, -1908.000000
41, 0.400000, 9765, -0.446250, -1820.000000
42, 0.400000, 9765, -0.447500, -1752.000000
43, 0.400000, 9765, -0.467500, -1828.000000
44, 0.400000, 9765, -0.438750, -1800.000000
45, 0.400000, 9765, -0.432500, -1900.000000
46, 0.400000, 9765, -0.392500, -1820.000000
47, 0.400000, 9765, -0.393750, -1880.000000
48, 0.400000, 9765, -0.400000, -1800.000000
49, 0.400000, 9765, -0.402500, -1804.000000
50, 0.400000, 9765, -0.413750, -1724.000000
