sweep, beta, subsystem_id, M, E/J
0, 0.400000, 9187, -1.000000, -3200.000000
1, 0.400000, 9187, -0.941250, -2872.000000
2, 0.400000, 9187, -0.895000, -2664.000000
3, 0.400000, 9187, -0.840000, -2532.000000
4, 0.400000, 9187, -0.807500, -2424.000000
5, 0.400000, 9187, -0.795000, -2428.000000
6, 0.400000, 9187, -0.780000, -2340.000000
7, 0.400000, 9187, -0.741250, -2220.000000
8, 0.400000, 9187, -0.728750, -2184.000000
9, 0.400000, 9187, -0.707500, -2088.000000
10, 0.400000, 9187, -0.707500, -2168.000000
11, 0.400000, 9187, -0.731250, -2208.000000
12, 0.400000, 9187, -0.708750, -2236.000000
13, 0.400000, 9187, -0.688750, -2136.000000
14, 0.400000, 9187, -0.655000, -1992.000000
15, 0.400000, 9187, -0.637500, -1972.000000
16, 0.400000, 9187, -0.595000, -1936.000000
17, 0.400000, 9187, -0.595000, -2012.000000
18, 0.400000, 9187, -0.630000, -2052.000000
19, 0.400000, 9187, -0.633750, -2092.000000
20, 0.400000, 9187, -0.633750, -2136.000000
21, 0.400000, 9187, -0.617500, -2100.000000
22, 0.400000, 9187, -0.605000, -2048.000000
23, 0.400000, 9187, -0.627500, -2076.000000
24, 0.400000, 9187, -0.600000, -2056.000000
25, 0.400000, 9187, -0.585000, -2012.000000
26, 0.400000, 9187, -0.603750, -2044.000000
27, 0.400000, 9187, -0.571250, -2060.000000
28, 0.400000, 9187, -0.570000, -2056.000000
29, 0.400000, 9187, -0.558750, -1940.000000
30, 0.400000, 9187, -0.537500, -1936.000000
31, 0.400000, 9187, -0.480000, -1848.000000
32, 0.400000, 9187, -0.451250, -1724.000000
33, 0.400000, 9187, -0.458750, -1828.000000
34, 0.400000, 9187, -0.450000, -1956.000000
35, 0.400000, 9187, -0.428750, -1980.000000
36, 0.400000, 9187, -0.398750, -1856.000000
37, 0.400000, 9187, -0.401250, -1816.000000
38, 0.400000, 9187, -0.375000, -1772.000000
39, 0.400000, 9187, -0.353750, -1756.000000
40, 0.400000, 9187, -0.373750, -1876.000000
41, 0.400000, 9187, -0.343750, -1752.000000
42, 0.400000, 9187, -0.348750, -1744.000000
43, 0.400000, 9187, -0.322500, -1708.000000
44, 0.400000, 9187, -0.290000, -1716.000000
45, 0.400000, 9187, -0.268750, -1792.000000
46, 0.400000, 9187, -0.246250, -1748.000000
47, 0.400000, 9187, -0.251250, -1740.000000
48, 0.400000, 9187, -0.296250, -1912.000000
49, 0.400000, 9187, -0.296250, -1792.000000
50, 0.400000, 9187, -0.320000, -1868.000000
