sweep, beta, subsystem_id, M, E/J
0, 0.400000, 454, -1.000000, -3200.000000
1, 0.400000, 454, -0.926250, -2808.000000
2, 0.400000, 454, -0.892500, -2704.000000
3, 0.400000, 454, -0.862500, -2564.000000
4, 0.400000, 454, -0.806250, -2368.000000
5, 0.400000, 454, -0.768750, -2252.000000
6, 0.400000, 454, -0.722500, -2140.000000
7, 0.400000, 454, -0.722500, -2196.000000
8, 0.400000, 454, -0.683750, -2152.000000
9, 0.400000, 454, -0.713750, -2272.000000
10, 0.400000, 454, -0.682500, -2224.000000
11, 0.400000, 454, -0.661250, -2168.000000
12, 0.400000, 454, -0.676250, -2160.000000
13, 0.400000, 454, -0.660000, -2104.000000
14, 0.400000, 454, -0.666250, -2104.000000
15, 0.400000, 454, -0.686250, -2124.000000
16, 0.400000, 454, -0.680000, -2088.000000
17, 0.400000, 454, -0.685000, -2068.000000
18, 0.400000, 454, -0.630000, -1956.000000
19, 0.400000, 454, -0.608750, -1980.000000
20, 0.400000, 454, -0.597500, -1916.000000
21, 0.400000, 454, -0.616250, -1984.000000
22, 0.400000, 454, -0.600000, -1960.000000
23, 0.400000, 454, -0.613750, -1980.000000
24, 0.400000, 454, -0.631250, -1932.000000
25, 0.400000, 454, -0.612500, -1992.000000
26, 0.400000, 454, -0.620000, -2012.000000
27, 0.400000, 454, -0.605000, -1972.000000
28, 0.400000, 454, -0.612500, -2112.000000
29, 0.400000, 454, -0.635000, -2168.000000
30, 0.400000, 454, -0.605000, -1980.000000
31, 0.400000, 454, -0.650000, -2036.000000
32, 0.400000, 454, -0.652500, -2088.000000
33, 0.400000, 454, -0.651250, -2092.000000
34, 0.400000, 454, -0.625000, -1964.000000
35, 0.400000, 454, -0.613750, -2068.000000
36, 0.400000, 454, -0.587500, -2056.000000
37, 0.400000, 454, -0.575000, -2116.000000
38, 0.400000, 454, -0.600000, -2104.000000
39, 0.400000, 454, -0.583750, -1992.000000
40, 0.400000, 454, -0.600000, -2064.000000
41, 0.400000, 454, -0.608750, -2084.000000
42, 0.400000, 454, -0.618750, -2020.000000
43, 0.400000, 454, -0.591250, -1896.000000
44, 0.400000, 454, -0.548750, -1968.000000
45, 0.400000, 454, -0.585000, -1976.000000
46, 0.400000, 454, -0.571250, -2000.000000
47, 0.400000, 454, -0.562500, -1940.000000
48, 0.400000, 454, -0.533750, -1936.000000
49, 0.400000, 454, -0.545000, -1956.000000
50, 0.400000, 454, -0.487500, -1864.000000
