sweep, beta, subsystem_id, M, E/J
0, 0.400000, 7649, -1.000000, -3200.000000
1, 0.400000, 7649, -0.930000, -2792.000000
2, 0.400000, 7649, -0.887500, -2624.000000
3, 0.400000, 7649, -0.832500, -2464.000000
4, 0.400000, 7649, -0.817500, -2380.000000
5, 0.400000, 7649, -0.772500, -2308.000000
6, 0.400000, 7649, -0.740000, -2276.000000
7, 0.400000, 7649, -0.740000, -2252.000000
8, 0.400000, 7649, -0.692500, -2140.000000
9, 0.400000, 7649, -0.640000, -1976.000000
10, 0.400000, 7649, -0.660000, -2116.000000
11, 0.400000, 7649, -0.615000, -2112.000000
12, 0.400000, 7649, -0.616250, -2128.000000
13, 0.400000, 7649, -0.582500, -2020.000000
14, 0.400000, 7649, -0.537500, -1956.000000
15, 0.400000, 7649, -0.538750, -1888.000000
16, 0.400000, 7649, -0.576250, -2024.000000
17, 0.400000, 7649, -0.587500, -2024.000000
18, 0.400000, 7649, -0.611250, -2020.000000
19, 0.400000, 7649, -0.627500, -2048.000000
20, 0.400000, 7649, -0.617500, -2012.000000
21, 0.400000, 7649, -0.610000, -2088.000000
22, 0.400000, 7649, -0.567500, -1956.000000
23, 0.400000, 7649, -0.590000, -1984.000000
24, 0.400000, 7649, -0.585000, -1916.000000
25, 0.400000, 7649, -0.583750, -2000.000000
26, 0.400000, 7649, -0.583750, -2012.000000
27, 0.400000, 7649, -0.605000, -2064.000000
28, 0.400000, 7649, -0.566250, -1976.000000
29, 0.400000, 7649, -0.580000, -1968.000000
30, 0.400000, 7649, -0.593750, -1940.000000
31, 0.400000, 7649, -0.598750, -1924.000000
32, 0.400000, 7649, -0.601250, -1920.000000
33, 0.400000, 7649, -0.598750, -1860.000000
34, 0.400000, 7649, -0.592500, -1868.000000
35, 0.400000, 7649, -0.608750, -1940.000000
36, 0.400000, 7649, -0.647500, -2052.000000
37, 0.400000, 7649, -0.616250, -2052.000000
38, 0.400000, 7649, -0.582500, -1940.000000
39, 0.400000, 7649, -0.608750, -1984.000000
40, 0.400000, 7649, -0.595000, -1932.000000
41, 0.400000, 7649, -0.660000, -2072.000000
42, 0.400000, 7649, -0.686250, -2116.000000
43, 0.400000, 7649, -0.687500, -2160.000000
44, 0.400000, 7649, -0.656250, -2084.000000
45, 0.400000, 7649, -0.626250, -2052.000000
46, 0.400000, 7649, -0.632500, -2060.000000
47, 0.400000, 7649, -0.623750, -1988.000000
48, 0.400000, 7649, -0.598750, -1964.000000
49, 0.400000, 7649, -0.556250, -1956.000000
50, 0.400000, 7649, -0.576250, -1908.000000
