sweep, beta, subsystem_id, M, E/J
0, 0.300000, 3857, -1.000000, -3200.000000
1, 0.300000, 3857, -0.841250, -2408.000000
2, 0.300000, 3857, -0.752500, -2080.000000
3, 0.300000, 3857, -0.620000, -1656.000000
4, 0.300000, 3857, -0.606250, -1708.000000
5, 0.300000, 3857, -0.537500, -1564.000000
6, 0.300000, 3857, -0.473750, -1424.000000
7, 0.300000, 3857, -0.432500, -1376.000000
8, 0.300000, 3857, -0.362500, -1352.000000
9, 0.300000, 3857, -0.305000, -1152.000000
10, 0.300000, 3857, -0.320000, -1184.000000
11, 0.300000, 3857, -0.266250, -1196.000000
12, 0.300000, 3857, -0.237500, -1264.000000
13, 0.300000, 3857, -0.213750, -1268.000000
14, 0.300000, 3857, -0.210000, -1220.000000
15, 0.300000, 3857, -0.198750, -1176.000000
16, 0.300000, 3857, -0.193750, -1176.000000
17, 0.300000, 3857, -0.131250, -1280.000000
18, 0.300000, 3857, -0.122500, -1228.000000
19, 0.300000, 3857, -0.120000, -1228.000000
20, 0.300000, 3857, -0.136250, -1196.000000
21, 0.300000, 3857, -0.130000, -1276.000000
22, 0.300000, 3857, -0.143750, -1252.000000
23, 0.300000, 3857, -0.113750, -1168.000000
24, 0.300000, 3857, -0.072500, -1124.000000
25, 0.300000, 3857, -0.067500, -1112.000000
26, 0.300000, 3857, -0.042500, -1148.000000
27, 0.300000, 3857, -0.027500, -1080.000000
28, 0.300000, 3857, 0.003750, -1140.000000
29, 0.300000, 3857, -0.036250, -1184.000000
30, 0.300000, 3857, -0.045000, -1128.000000
31, 0.300000, 3857, -0.010000, -1200.000000
32, 0.300000, 3857, -0.002500, -1276.000000
33, 0.300000, 3857, -0.010000, -1204.000000
34, 0.300000, 3857, -0.035000, -1240.000000
35, 0.300000, 3857, -0.031250, -1204.000000
36, 0.300000, 3857, -0.001250, -1148.000000
37, 0.300000, 3857, -0.011250, -1076.000000
38, 0.300000, 3857, -0.025000, -1056.000000
39, 0.300000, 3857, 0.018750, -1016.000000
40, 0.300000, 3857, 0.062500, -964.000000
41, 0.300000, 3857, 0.063750, -1080.000000
42, 0.300000, 3857, 0.071250, -1120.000000
43, 0.300000, 3857, 0.101250, -1156.000000
44, 0.300000, 3857, 0.135000, -1168.000000
45, 0.300000, 3857, 0.108750, -1076.000000
46, 0.300000, 3857, 0.140000, -1240.000000
47, 0.300000, 3857, 0.163750, -1324.000000
48, 0.300000, 3857, 0.133750, -1132.000000
49, 0.300000, 3857, 0.132500, -1232.000000
50, 0.300000, 3857, 0.076250, -1092.000000
