sweep, beta, subsystem_id, M, E/J
0, 0.400000, 9627, -1.000000, -3200.000000
1, 0.400000, 9627, -0.925000, -2788.000000
2, 0.400000, 9627, -0.875000, -2560.000000
3, 0.400000, 9627, -0.837500, -2412.000000
4, 0.400000, 9627, -0.808750, -2300.000000
5, 0.400000, 9627, -0.791250, -2240.000000
6, 0.400000, 9627, -0.778750, -2300.000000
7, 0.400000, 9627, -0.775000, -2340.000000
8, 0.400000, 9627, -0.746250, -2260.000000
9, 0.400000, 9627, -0.705000, -2108.000000
10, 0.400000, 9627, -0.673750, -2068.000000
11, 0.400000, 9627, -0.656250, -1928.000000
12, 0.400000, 9627, -0.673750, -2036.000000
13, 0.400000, 9627, -0.705000, -2164.000000
14, 0.400000, 9627, -0.677500, -2068.000000
15, 0.400000, 9627, -0.633750, -1976.000000
16, 0.400000, 9627, -0.587500, -2020.000000
17, 0.400000, 9627, -0.606250, -1980.000000
18, 0.400000, 9627, -0.622500, -2164.000000
19, 0.400000, 9627, -0.620000, -2104.000000
20, 0.400000, 9627, -0.616250, -2104.000000
21, 0.400000, 9627, -0.603750, -2024.000000
22, 0.400000, 9627, -0.606250, -2056.000000
23, 0.400000, 9627, -0.618750, -2064.000000
24, 0.400000, 9627, -0.582500, -1980.000000
25, 0.400000, 9627, -0.575000, -2024.000000
26, 0.400000, 9627, -0.573750, -1964.000000
27, 0.400000, 9627, -0.567500, -1872.000000
28, 0.400000, 9627, -0.525000, -1836.000000
29, 0.400000, 9627, -0.510000, -1876.000000
30, 0.400000, 9627, -0.505000, -1828.000000
31, 0.400000, 9627, -0.556250, -1880.000000
32, 0.400000, 9627, -0.602500, -1984.000000
33, 0.400000, 9627, -0.590000, -1992.000000
34, 0.400000, 9627, -0.596250, -2048.000000
35, 0.400000, 9627, -0.540000, -1908.000000
36, 0.400000, 9627, -0.575000, -1948.000000
37, 0.400000, 9627, -0.556250, -1992.000000
38, 0.400000, 9627, -0.540000, -1992.000000
39, 0.400000, 9627, -0.501250, -2024.000000
40, 0.400000, 9627, -0.471250, -1896.000000
41, 0.400000, 9627, -0.480000, -1872.000000
42, 0.400000, 9627, -0.462500, -1920.000000
43, 0.400000, 9627, -0.480000, -1848.000000
44, 0.400000, 9627, -0.477500, -1844.000000
45, 0.400000, 9627, -0.461250, -1840.000000
46, 0.400000, 9627, -0.405000, -1764.000000
47, 0.400000, 9627, -0.428750, -1744.000000
48, 0.400000, 9627, -0.512500, -2008.000000
49, 0.400000, 9627, -0.531250, -2012.000000
50, 0.400000, 9627, -0.550000, -2008.000000
