sweep, beta, subsystem_id, M, E/J
0, 0.400000, 2358, -1.000000, -3200.000000
1, 0.400000, 2358, -0.933750, -2836.000000
2, 0.400000, 2358, -0.876250, -2608.000000
3, 0.400000, 2358, -0.830000, -2420.000000
4, 0.400000, 2358, -0.801250, -2340.000000
5, 0.400000, 2358, -0.787500, -2308.000000
6, 0.400000, 2358, -0.756250, -2236.000000
7, 0.400000, 2358, -0.692500, -2024.000000
8, 0.400000, 2358, -0.676250, -2176.000000
9, 0.400000, 2358, -0.671250, -2084.000000
10, 0.400000, 2358, -0.673750, -2056.000000
11, 0.400000, 2358, -0.670000, -2012.000000
12, 0.400000, 2358, -0.626250, -1852.000000
13, 0.400000, 2358, -0.653750, -2028.000000
14, 0.400000, 2358, -0.657500, -2000.000000
15, 0.400000, 2358, -0.645000, -2080.000000
16, 0.400000, 2358, -0.642500, -1952.000000
17, 0.400000, 2358, -0.677500, -2056.000000
18, 0.400000, 2358, -0.662500, -2076.000000
19, 0.400000, 2358, -0.650000, -2020.000000
20, 0.400000, 2358, -0.658750, -2012.000000
21, 0.400000, 2358, -0.653750, -1960.000000
22, 0.400000, 2358, -0.630000, -1936.000000
23, 0.400000, 2358, -0.643750, -2048.000000
24, 0.400000, 2358, -0.631250, -1920.000000
25, 0.400000, 2358, -0.643750, -1972.000000
26, 0.400000, 2358, -0.631250, -1996.000000
27, 0.400000, 2358, -0.642500, -2004.000000
28, 0.400000, 2358, -0.630000, -2048.000000
29, 0.400000, 2358, -0.636250, -2020.000000
30, 0.400000, 2358, -0.642500, -1980.000000
31, 0.400000, 2358, -0.620000, -1932.000000
32, 0.400000, 2358, -0.590000, -1844.000000
33, 0.400000, 2358, -0.562500, -1824.000000
34, 0.400000, 2358, -0.533750, -1776.000000
35, 0.400000, 2358, -0.555000, -1888.000000
36, 0.400000, 2358, -0.515000, -1988.000000
37, 0.400000, 2358, -0.487500, -1964.000000
38, 0.400000, 2358, -0.515000, -2020.000000
39, 0.400000, 2358, -0.498750, -1852.000000
40, 0.400000, 2358, -0.480000, -1884.000000
41, 0.400000, 2358, -0.488750, -1832.000000
42, 0.400000, 2358, -0.506250, -1868.000000
43, 0.400000, 2358, -0.503750, -1936.000000
44, 0.400000, 2358, -0.498750, -1900.000000
45, 0.400000, 2358, -0.455000, -1812.000000
46, 0.400000, 2358, -0.488750, -1796.000000
47, 0.400000, 2358, -0.508750, -1924.000000
48, 0.400000, 2358, -0.457500, -1864.000000
49, 0.400000, 2358, -0.440000, -1880.000000
50, 0.400000, 2358, -0.412500, -1924.000000
