sweep, beta, subsystem_id, M, E/J
0, 0.400000, 1299, -1.000000, -3200.000000
1, 0.400000, 1299, -0.931250, -2808.000000
2, 0.400000, 1299, -0.872500, -2576.000000
3, 0.400000, 1299, -0.858750, -2512.000000
4, 0.400000, 1299, -0.815000, -2400.000000
5, 0.400000, 1299, -0.800000, -2340.000000
6, 0.400000, 1299, -0.768750, -2256.000000
7, 0.400000, 1299, -0.765000, -2228.000000
8, 0.400000, 1299, -0.757500, -2276.000000
9, 0.400000, 1299, -0.752500, -2248.000000
10, 0.400000, 1299, -0.717500, -2156.000000
11, 0.400000, 1299, -0.722500, -2220.000000
12, 0.400000, 1299, -0.708750, -2200.000000
13, 0.400000, 1299, -0.688750, -2124.000000
14, 0.400000, 1299, -0.692500, -2048.000000
15, 0.400000, 1299, -0.701250, -2092.000000
16, 0.400000, 1299, -0.670000, -2132.000000
17, 0.400000, 1299, -0.630000, -2040.000000
18, 0.400000, 1299, -0.623750, -2092.000000
19, 0.400000, 1299, -0.632500, -1952.000000
20, 0.400000, 1299, -0.608750, -1960.000000
21, 0.400000, 1299, -0.602500, -2068.000000
22, 0.400000, 1299, -0.642500, -2056.000000
23, 0.400000, 1299, -0.658750, -2116.000000
24, 0.400000, 1299, -0.646250, -2144.000000
25, 0.400000, 1299, -0.673750, -2108.000000
26, 0.400000, 1299, -0.643750, -2056.000000
27, 0.400000, 1299, -0.587500, -1916.000000
28, 0.400000, 1299, -0.633750, -2100.000000
29, 0.400000, 1299, -0.638750, -2084.000000
30, 0.400000, 1299, -0.617500, -1932.000000
31, 0.400000, 1299, -0.610000, -1992.000000
32, 0.400000, 1299, -0.610000, -1960.000000
33, 0.400000, 1299, -0.610000, -1992.000000
34, 0.400000, 1299, -0.597500, -1980.000000
35, 0.400000, 1299, -0.593750, -1936.000000
36, 0.400000, 1299, -0.581250, -1912.000000
37, 0.400000, 1299, -0.586250, -1900.000000
38, 0.400000, 1299, -0.538750, -1896.000000
39, 0.400000, 1299, -0.528750, -1904.000000
40, 0.400000, 1299, -0.476250, -1812.000000
41, 0.400000, 1299, -0.490000, -1904.000000
42, 0.400000, 1299, -0.493750, -1940.000000
43, 0.400000, 1299, -0.457500, -1828.000000
44, 0.400000, 1299, -0.460000, -1928.000000
45, 0.400000, 1299, -0.552500, -2016.000000
46, 0.400000, 1299, -0.510000, -1920.000000
47, 0.400000, 1299, -0.503750, -1900.000000
48, 0.400000, 1299, -0.450000, -1768.000000
49, 0.400000, 1299, -0.456250, -1800.000000
50, 0.400000, 1299, -0.495000, -1908.000000
