sweep, beta, subsystem_id, M, E/J
0, 0.400000, 6930, -1.000000, -3200.000000
1, 0.400000, 6930, -0.940000, -2868.000000
2, 0.400000, 6930, -0.877500, -2556.000000
3, 0.400000, 6930, -0.850000, -2512.000000
4, 0.400000, 6930, -0.815000, -2376.000000
5, 0.400000, 6930, -0.811250, -2404.000000
6, 0.400000, 6930, -0.832500, -2500.000000
7, 0.400000, 6930, -0.787500, -2348.000000
8, 0.400000, 6930, -0.742500, -2264.000000
9, 0.400000, 6930, -0.731250, -2148.000000
10, 0.400000, 6930, -0.678750, -2120.000000
11, 0.400000, 6930, -0.701250, -2148.000000
12, 0.400000, 6930, -0.675000, -2060.000000
13, 0.400000, 6930, -0.700000, -2148.000000
14, 0.400000, 6930, -0.746250, -2236.000000
15, 0.400000, 6930, -0.717500, -2108.000000
16, 0.400000, 6930, -0.693750, -2020.000000
17, 0.400000, 6930, -0.692500, -2092.000000
18, 0.400000, 6930, -0.657500, -2076.000000
19, 0.400000, 6930, -0.616250, -1904.000000
20, 0.400000, 6930, -0.622500, -1908.000000
21, 0.400000, 6930, -0.635000, -2036.000000
22, 0.400000, 6930, -0.636250, -2048.000000
23, 0.400000, 6930, -0.602500, -2012.000000
24, 0.400000, 6930, -0.566250, -1892.000000
25, 0.400000, 6930, -0.551250, -1912.000000
26, 0.400000, 6930, -0.531250, -1900.000000
27, 0.400000, 6930, -0.540000, -1952.000000
28, 0.400000, 6930, -0.565000, -1972.000000
29, 0.400000, 6930, -0.556250, -1932.000000
30, 0.400000, 6930, -0.552500, -1936.000000
31, 0.400000, 6930, -0.532500, -1916.000000
32, 0.400000, 6930, -0.482500, -1824.000000
33, 0.400000, 6930, -0.457500, -1800.000000
34, 0.400000, 6930, -0.452500, -1740.000000
35, 0.400000, 6930, -0.448750, -1756.000000
36, 0.400000, 6930, -0.433750, -1648.000000
37, 0.400000, 6930, -0.412500, -1776.000000
38, 0.400000, 6930, -0.432500, -1848.000000
39, 0.400000, 6930, -0.405000, -1764.000000
40, 0.400000, 6930, -0.438750, -1812.000000
41, 0.400000, 6930, -0.432500, -1928.000000
42, 0.400000, 6930, -0.435000, -1940.000000
43, 0.400000, 6930, -0.478750, -1976.000000
44, 0.400000, 6930, -0.457500, -1940.000000
45, 0.400000, 6930, -0.478750, -1964.000000
46, 0.400000, 6930, -0.461250, -1868.000000
47, 0.400000, 6930, -0.463750, -1952.000000
48, 0.400000, 6930, -0.432500, -1944.000000
49, 0.400000, 6930, -0.372500, -1820.000000
50, 0.400000, 6930, -0.373750, -1796.000000
