sweep, beta, subsystem_id, M, E/J
0, 0.200000, 5166, -1.000000, -3200.000000
1, 0.200000, 5166, -0.673750, -1692.000000
2, 0.200000, 5166, -0.471250, -1220.000000
3, 0.200000, 5166, -0.333750, -940.000000
4, 0.200000, 5166, -0.212500, -740.000000
5, 0.200000, 5166, -0.135000, -664.000000
6, 0.200000, 5166, -0.118750, -664.000000
7, 0.200000, 5166, -0.065000, -680.000000
8, 0.200000, 5166, -0.047500, -740.000000
9, 0.200000, 5166, -0.048750, -672.000000
10, 0.200000, 5166, -0.038750, -704.000000
11, 0.200000, 5166, -0.036250, -632.000000
12, 0.200000, 5166, -0.036250, -652.000000
13, 0.200000, 5166, -0.050000, -652.000000
14, 0.200000, 5166, -0.077500, -696.000000
15, 0.200000, 5166, -0.056250, -700.000000
16, 0.200000, 5166, -0.032500, -700.000000
17, 0.200000, 5166, -0.023750, -752.000000
18, 0.200000, 5166, 0.022500, -616.000000
19, 0.200000, 5166, 0.006250, -812.000000
20, 0.200000, 5166, 0.040000, -732.000000
21, 0.200000, 5166, -0.006250, -652.000000
22, 0.200000, 5166, -0.020000, -596.000000
23, 0.200000, 5166, -0.003750, -728.000000
24, 0.200000, 5166, -0.001250, -600.000000
25, 0.200000, 5166, -0.020000, -680.000000
26, 0.200000, 5166, 0.017500, -636.000000
27, 0.200000, 5166, -0.038750, -776.000000
28, 0.200000, 5166, 0.040000, -636.000000
29, 0.200000, 5166, 0.066250, -644.000000
30, 0.200000, 5166, 0.065000, -664.000000
31, 0.200000, 5166, 0.028750, -604.000000
32, 0.200000, 5166, 0.045000, -632.000000
33, 0.200000, 5166, -0.051250, -708.000000
34, 0.200000, 5166, 0.006250, -736.000000
35, 0.200000, 5166, -0.012500, -640.000000
36, 0.200000, 5166, -0.027500, -584.000000
37, 0.200000, 5166, -0.076250, -668.000000
38, 0.200000, 5166, -0.056250, -696.000000
39, 0.200000, 5166, -0.015000, -668.000000
40, 0.200000, 5166, 0.055000, -676.000000
41, 0.200000, 5166, 0.052500, -712.000000
42, 0.200000, 5166, 0.027500, -648.000000
43, 0.200000, 5166, -0.007500, -564.000000
44, 0.200000, 5166, -0.027500, -700.000000
45, 0.200000, 5166, 0.045000, -668.000000
46, 0.200000, 5166, 0.038750, -724.000000
47, 0.200000, 5166, 0.083750, -720.000000
48, 0.200000, 5166, 0.077500, -800.000000
49, 0.200000, 5166, 0.008750, -676.000000
50, 0.200000, 5166, -0.041250, -680.000000
