sweep, beta, subsystem_id, M, E/J
0, 0.300000, 935, -1.000000, -3200.000000
1, 0.300000, 935, -0.843750, -2396.000000
2, 0.300000, 935, -0.703750, -1880.000000
3, 0.300000, 935, -0.650000, -1784.000000
4, 0.300000, 935, -0.543750, -1588.000000
5, 0.300000, 935, -0.491250, -1500.000000
6, 0.300000, 935, -0.448750, -1492.000000
7, 0.300000, 935, -0.357500, -1256.000000
8, 0.300000, 935, -0.298750, -1136.000000
9, 0.300000, 935, -0.280000, -1088.000000
10, 0.300000, 935, -0.182500, -1056.000000
11, 0.300000, 935, -0.157500, -1136.000000
12, 0.300000, 935, -0.182500, -1156.000000
13, 0.300000, 935, -0.201250, -1248.000000
14, 0.300000, 935, -0.158750, -1280.000000
15, 0.300000, 935, -0.173750, -1140.000000
16, 0.300000, 935, -0.161250, -1140.000000
17, 0.300000, 935, -0.130000, -1320.000000
18, 0.300000, 935, -0.075000, -1196.000000
19, 0.300000, 935, -0.090000, -1128.000000
20, 0.300000, 935, -0.087500, -1152.000000
21, 0.300000, 935, -0.101250, -1140.000000
22, 0.300000, 935, -0.101250, -1176.000000
23, 0.300000, 935, -0.073750, -1040.000000
24, 0.300000, 935, -0.046250, -1180.000000
25, 0.300000, 935, -0.057500, -1204.000000
26, 0.300000, 935, -0.030000, -1148.000000
27, 0.300000, 935, -0.092500, -1072.000000
28, 0.300000, 935, -0.136250, -1088.000000
29, 0.300000, 935, -0.152500, -1224.000000
30, 0.300000, 935, -0.155000, -1116.000000
31, 0.300000, 935, -0.125000, -1192.000000
32, 0.300000, 935, -0.176250, -1204.000000
33, 0.300000, 935, -0.168750, -1200.000000
34, 0.300000, 935, -0.122500, -1328.000000
35, 0.300000, 935, -0.088750, -1176.000000
36, 0.300000, 935, -0.016250, -1040.000000
37, 0.300000, 935, -0.042500, -1024.000000
38, 0.300000, 935, -0.026250, -1060.000000
39, 0.300000, 935, -0.015000, -1104.000000
40, 0.300000, 935, 0.001250, -1172.000000
41, 0.300000, 935, 0.025000, -1112.000000
42, 0.300000, 935, 0.072500, -1096.000000
43, 0.300000, 935, 0.105000, -1132.000000
44, 0.300000, 935, 0.138750, -1200.000000
45, 0.300000, 935, 0.165000, -1228.000000
46, 0.300000, 935, 0.160000, -1152.000000
47, 0.300000, 935, 0.150000, -1148.000000
48, 0.300000, 935, 0.112500, -1048.000000
49, 0.300000, 935, 0.112500, -1064.000000
50, 0.300000, 935, 0.112500, -1048.000000
