sweep, beta, subsystem_id, M, E/J
0, 0.400000, 6354, -1.000000, -3200.000000
1, 0.400000, 6354, -0.930000, -2824.000000
2, 0.400000, 6354, -0.897500, -2704.000000
3, 0.400000, 6354, -0.837500, -2460.000000
4, 0.400000, 6354, -0.807500, -2304.000000
5, 0.400000, 6354, -0.786250, -2252.000000
6, 0.400000, 6354, -0.796250, -2324.000000
7, 0.400000, 6354, -0.755000, -2220.000000
8, 0.400000, 6354, -0.736250, -2176.000000
9, 0.400000, 6354, -0.746250, -2192.000000
10, 0.400000, 6354, -0.741250, -2232.000000
11, 0.400000, 6354, -0.738750, -2216.000000
12, 0.400000, 6354, -0.741250, -2264.000000
13, 0.400000, 6354, -0.701250, -2188.000000
14, 0.400000, 6354, -0.582500, -2028.000000
15, 0.400000, 6354, -0.578750, -2060.000000
16, 0.400000, 6354, -0.550000, -1964.000000
17, 0.400000, 6354, -0.557500, -1980.000000
18, 0.400000, 6354, -0.503750, -1936.000000
19, 0.400000, 6354, -0.476250, -1908.000000
20, 0.400000, 6354, -0.445000, -1976.000000
21, 0.400000, 6354, -0.403750, -1772.000000
22, 0.400000, 6354, -0.450000, -1896.000000
23, 0.400000, 6354, -0.441250, -1920.000000
24, 0.400000, 6354, -0.457500, -1964.000000
25, 0.400000, 6354, -0.422500, -1844.000000
26, 0.400000, 6354, -0.395000, -1888.000000
27, 0.400000, 6354, -0.407500, -1940.000000
28, 0.400000, 6354, -0.407500, -1956.000000
29, 0.400000, 6354, -0.413750, -2000.000000
30, 0.400000, 6354, -0.413750, -1940.000000
31, 0.400000, 6354, -0.435000, -1996.000000
32, 0.400000, 6354, -0.467500, -1992.000000
33, 0.400000, 6354, -0.481250, -2004.000000
34, 0.400000, 6354, -0.451250, -1952.000000
35, 0.400000, 6354, -0.408750, -1856.000000
36, 0.400000, 6354, -0.405000, -1908.000000
37, 0.400000, 6354, -0.383750, -1812.000000
38, 0.400000, 6354, -0.396250, -1804.000000
39, 0.400000, 6354, -0.380000, -1812.000000
40, 0.400000, 6354, -0.377500, -1736.000000
41, 0.400000, 6354, -0.395000, -1720.000000
42, 0.400000, 6354, -0.422500, -1640.000000
43, 0.400000, 6354, -0.385000, -1664.000000
44, 0.400000, 6354, -0.382500, -1792.000000
45, 0.400000, 6354, -0.332500, -1844.000000
46, 0.400000, 6354, -0.297500, -1760.000000
47, 0.400000, 6354, -0.313750, -1728.000000
48, 0.400000, 6354, -0.313750, -1712.000000
49, 0.400000, 6354, -0.308750, -1768.000000
50, 0.400000, 6354, -0.265000, -1716.000000
