sweep, beta, subsystem_id, M, E/J
0, 0.300000, 9357, -1.000000, -3200.000000
1, 0.300000, 9357, -0.852500, -2424.000000
2, 0.300000, 9357, -0.731250, -2016.000000
3, 0.300000, 9357, -0.612500, -1720.000000
4, 0.300000, 9357, -0.553750, -1604.000000
5, 0.300000, 9357, -0.430000, -1336.000000
6, 0.300000, 9357, -0.435000, -1312.000000
7, 0.300000, 9357, -0.393750, -1404.000000
8, 0.300000, 9357, -0.408750, -1392.000000
9, 0.300000, 9357, -0.320000, -1320.000000
10, 0.300000, 9357, -0.292500, -1256.000000
11, 0.300000, 9357, -0.265000, -1156.000000
12, 0.300000, 9357, -0.253750, -1092.000000
13, 0.300000, 9357, -0.235000, -1064.000000
14, 0.300000, 9357, -0.235000, -1120.000000
15, 0.300000, 9357, -0.192500, -1120.000000
16, 0.300000, 9357, -0.160000, -1160.000000
17, 0.300000, 9357, -0.220000, -1172.000000
18, 0.300000, 9357, -0.231250, -1128.000000
19, 0.300000, 9357, -0.165000, -1144.000000
20, 0.300000, 9357, -0.145000, -1144.000000
21, 0.300000, 9357, -0.115000, -1156.000000
22, 0.300000, 9357, -0.077500, -1104.000000
23, 0.300000, 9357, -0.076250, -1264.000000
24, 0.300000, 9357, -0.021250, -1228.000000
25, 0.300000, 9357, -0.056250, -1328.000000
26, 0.300000, 9357, -0.101250, -1264.000000
27, 0.300000, 9357, -0.017500, -1044.000000
28, 0.300000, 9357, -0.040000, -1000.000000
29, 0.300000, 9357, -0.007500, -1088.000000
30, 0.300000, 9357, -0.005000, -1172.000000
31, 0.300000, 9357, -0.005000, -1136.000000
32, 0.300000, 9357, -0.060000, -1124.000000
33, 0.300000, 9357, -0.081250, -1048.000000
34, 0.300000, 9357, -0.113750, -1100.000000
35, 0.300000, 9357, -0.137500, -1144.000000
36, 0.300000, 9357, -0.112500, -1212.000000
37, 0.300000, 9357, -0.032500, -1124.000000
38, 0.300000, 9357, -0.002500, -1108.000000
39, 0.300000, 9357, 0.016250, -1176.000000
40, 0.300000, 9357, -0.001250, -1088.000000
41, 0.300000, 9357, 0.077500, -1092.000000
42, 0.300000, 9357, 0.071250, -1168.000000
43, 0.300000, 9357, 0.080000, -1100.000000
44, 0.300000, 9357, 0.097500, -1132.000000
45, 0.300000, 9357, 0.066250, -1180.000000
46, 0.300000, 9357, 0.095000, -1088.000000
47, 0.300000, 9357, 0.112500, -1080.000000
48, 0.300000, 9357, 0.116250, -1092.000000
49, 0.300000, 9357, 0.103750, -1008.000000
50, 0.300000, 9357, 0.097500, -1020.000000
