sweep, beta, subsystem_id, M, E/J
0, 0.200000, 1152, -1.000000, -3200.000000
1, 0.200000, 1152, -0.647500, -1616.000000
2, 0.200000, 1152, -0.451250, -1040.000000
3, 0.200000, 1152, -0.275000, -796.000000
4, 0.200000, 1152, -0.191250, -772.000000
5, 0.200000, 1152, -0.148750, -700.000000
6, 0.200000, 1152, -0.092500, -660.000000
7, 0.200000, 1152, -0.037500, -772.000000
8, 0.200000, 1152, -0.035000, -680.000000
9, 0.200000, 1152, -0.043750, -688.000000
10, 0.200000, 1152, 0.047500, -648.000000
11, 0.200000, 1152, -0.021250, -556.000000
12, 0.200000, 1152, 0.021250, -644.000000
13, 0.200000, 1152, 0.005000, -632.000000
14, 0.200000, 1152, -0.038750, -616.000000
15, 0.200000, 1152, -0.045000, -644.000000
16, 0.200000, 1152, -0.058750, -744.000000
17, 0.200000, 1152, -0.037500, -660.000000
18, 0.200000, 1152, 0.013750, -652.000000
19, 0.200000, 1152, -0.002500, -652.000000
20, 0.200000, 1152, 0.032500, -692.000000
21, 0.200000, 1152, 0.038750, -588.000000
22, 0.200000, 1152, 0.062500, -560.000000
23, 0.200000, 1152, 0.010000, -640.000000
24, 0.200000, 1152, -0.001250, -744.000000
25, 0.200000, 1152, -0.038750, -636.000000
26, 0.200000, 1152, 0.017500, -696.000000
27, 0.200000, 1152, 0.018750, -752.000000
28, 0.200000, 1152, 0.016250, -740.000000
29, 0.200000, 1152, 0.010000, -740.000000
30, 0.200000, 1152, 0.038750, -676.000000
31, 0.200000, 1152, -0.023750, -716.000000
32, 0.200000, 1152, -0.040000, -784.000000
33, 0.200000, 1152, 0.008750, -740.000000
34, 0.200000, 1152, 0.011250, -704.000000
35, 0.200000, 1152, 0.043750, -580.000000
36, 0.200000, 1152, -0.003750, -692.000000
37, 0.200000, 1152, 0.016250, -712.000000
38, 0.200000, 1152, 0.012500, -616.000000
39, 0.200000, 1152, 0.021250, -692.000000
40, 0.200000, 1152, 0.053750, -652.000000
41, 0.200000, 1152, 0.061250, -792.000000
42, 0.200000, 1152, 0.055000, -632.000000
43, 0.200000, 1152, 0.025000, -704.000000
44, 0.200000, 1152, 0.031250, -704.000000
45, 0.200000, 1152, -0.036250, -524.000000
46, 0.200000, 1152, -0.002500, -584.000000
47, 0.200000, 1152, -0.038750, -740.000000
48, 0.200000, 1152, -0.026250, -680.000000
49, 0.200000, 1152, -0.047500, -688.000000
50, 0.200000, 1152, -0.045000, -600.000000
