sweep, beta, subsystem_id, M, E/J
0, 0.300000, 9764, -1.000000, -3200.000000
1, 0.300000, 9764, -0.820000, -2308.000000
2, 0.300000, 9764, -0.676250, -1876.000000
3, 0.300000, 9764, -0.635000, -1704.000000
4, 0.300000, 9764, -0.582500, -1632.000000
5, 0.300000, 9764, -0.493750, -1484.000000
6, 0.300000, 9764, -0.472500, -1472.000000
7, 0.300000, 9764, -0.386250, -1312.000000
8, 0.300000, 9764, -0.313750, -1240.000000
9, 0.300000, 9764, -0.290000, -1252.000000
10, 0.300000, 9764, -0.266250, -1132.000000
11, 0.300000, 9764, -0.193750, -1024.000000
12, 0.300000, 9764, -0.202500, -1188.000000
13, 0.300000, 9764, -0.177500, -1200.000000
14, 0.300000, 9764, -0.155000, -1116.000000
15, 0.300000, 9764, -0.131250, -1048.000000
16, 0.300000, 9764, -0.106250, -1140.000000
17, 0.300000, 9764, -0.101250, -1160.000000
18, 0.300000, 9764, -0.077500, -1028.000000
19, 0.300000, 9764, -0.043750, -1072.000000
20, 0.300000, 9764, 0.025000, -1116.000000
21, 0.300000, 9764, -0.007500, -1132.000000
22, 0.300000, 9764, 0.025000, -1096.000000
23, 0.300000, 9764, -0.005000, -1152.000000
24, 0.300000, 9764, -0.013750, -1140.000000
25, 0.300000, 9764, -0.017500, -1080.000000
26, 0.300000, 9764, 0.005000, -1076.000000
27, 0.300000, 9764, -0.002500, -1152.000000
28, 0.300000, 9764, 0.040000, -1040.000000
29, 0.300000, 9764, -0.016250, -1084.000000
30, 0.300000, 9764, 0.008750, -1000.000000
31, 0.300000, 9764, 0.021250, -968.000000
32, 0.300000, 9764, -0.015000, -1084.000000
33, 0.300000, 9764, -0.042500, -1148.000000
34, 0.300000, 9764, -0.118750, -1188.000000
35, 0.300000, 9764, -0.103750, -1220.000000
36, 0.300000, 9764, -0.031250, -1156.000000
37, 0.300000, 9764, -0.046250, -1236.000000
38, 0.300000, 9764, -0.035000, -1144.000000
39, 0.300000, 9764, -0.062500, -1136.000000
40, 0.300000, 9764, -0.052500, -1148.000000
41, 0.300000, 9764, -0.076250, -1048.000000
42, 0.300000, 9764, -0.105000, -1156.000000
43, 0.300000, 9764, -0.082500, -1252.000000
44, 0.300000, 9764, -0.015000, -1180.000000
45, 0.300000, 9764, -0.063750, -1068.000000
46, 0.300000, 9764, -0.022500, -1088.000000
47, 0.300000, 9764, 0.001250, -1140.000000
48, 0.300000, 9764, -0.016250, -1144.000000
49, 0.300000, 9764, 0.047500, -1032.000000
50, 0.300000, 9764, 0.038750, -964.000000
