sweep, beta, subsystem_id, M, E/J
0, 0.400000, 715, -1.000000, -3200.000000
1, 0.400000, 715, -0.933750, -2860.000000
2, 0.400000, 715, -0.883750, -2644.000000
3, 0.400000, 715, -0.867500, -2584.000000
4, 0.400000, 715, -0.827500, -2400.000000
5, 0.400000, 715, -0.815000, -2332.000000
6, 0.400000, 715, -0.782500, -2320.000000
7, 0.400000, 715, -0.765000, -2324.000000
8, 0.400000, 715, -0.775000, -2336.000000
9, 0.400000, 715, -0.753750, -2296.000000
10, 0.400000, 715, -0.692500, -2056.000000
11, 0.400000, 715, -0.638750, -1972.000000
12, 0.400000, 715, -0.661250, -2068.000000
13, 0.400000, 715, -0.665000, -2016.000000
14, 0.400000, 715, -0.670000, -2076.000000
15, 0.400000, 715, -0.655000, -2016.000000
16, 0.400000, 715, -0.682500, -2068.000000
17, 0.400000, 715, -0.658750, -2060.000000
18, 0.400000, 715, -0.633750, -1988.000000
19, 0.400000, 715, -0.656250, -2068.000000
20, 0.400000, 715, -0.670000, -2132.000000
21, 0.400000, 715, -0.623750, -2076.000000
22, 0.400000, 715, -0.641250, -2032.000000
23, 0.400000, 715, -0.602500, -1980.000000
24, 0.400000, 715, -0.566250, -1928.000000
25, 0.400000, 715, -0.576250, -2040.000000
26, 0.400000, 715, -0.571250, -2040.000000
27, 0.400000, 715, -0.590000, -1996.000000
28, 0.400000, 715, -0.588750, -1928.000000
29, 0.400000, 715, -0.557500, -1864.000000
30, 0.400000, 715, -0.566250, -1916.000000
31, 0.400000, 715, -0.563750, -1960.000000
32, 0.400000, 715, -0.582500, -2044.000000
33, 0.400000, 715, -0.555000, -2012.000000
34, 0.400000, 715, -0.553750, -1976.000000
35, 0.400000, 715, -0.580000, -1972.000000
36, 0.400000, 715, -0.563750, -1948.000000
37, 0.400000, 715, -0.606250, -1968.000000
38, 0.400000, 715, -0.603750, -1924.000000
39, 0.400000, 715, -0.621250, -2008.000000
40, 0.400000, 715, -0.625000, -2064.000000
41, 0.400000, 715, -0.613750, -2036.000000
42, 0.400000, 715, -0.608750, -2024.000000
43, 0.400000, 715, -0.593750, -1956.000000
44, 0.400000, 715, -0.595000, -1936.000000
45, 0.400000, 715, -0.631250, -1956.000000
46, 0.400000, 715, -0.597500, -1924.000000
47, 0.400000, 715, -0.591250, -2004.000000
48, 0.400000, 715, -0.598750, -1980.000000
49, 0.400000, 715, -0.592500, -1884.000000
50, 0.400000, 715, -0.588750, -1920.000000
