sweep, beta, subsystem_id, M, E/J
0, 0.300000, 1599, -1.000000, -3200.000000
1, 0.300000, 1599, -0.841250, -2392.000000
2, 0.300000, 1599, -0.723750, -1940.000000
3, 0.300000, 1599, -0.557500, -1628.000000
4, 0.300000, 1599, -0.526250, -1464.000000
5, 0.300000, 1599, -0.478750, -1464.000000
6, 0.300000, 1599, -0.456250, -1304.000000
7, 0.300000, 1599, -0.378750, -1240.000000
8, 0.300000, 1599, -0.332500, -1276.000000
9, 0.300000, 1599, -0.320000, -1236.000000
10, 0.300000, 1599, -0.245000, -1160.000000
11, 0.300000, 1599, -0.147500, -1188.000000
12, 0.300000, 1599, -0.205000, -1248.000000
13, 0.300000, 1599, -0.178750, -1208.000000
14, 0.300000, 1599, -0.132500, -1216.000000
15, 0.300000, 1599, -0.131250, -1240.000000
16, 0.300000, 1599, -0.088750, -1100.000000
17, 0.300000, 1599, -0.068750, -1184.000000
18, 0.300000, 1599, -0.082500, -1136.000000
19, 0.300000, 1599, -0.061250, -1044.000000
20, 0.300000, 1599, -0.096250, -1064.000000
21, 0.300000, 1599, -0.091250, -1104.000000
22, 0.300000, 1599, -0.078750, -1148.000000
23, 0.300000, 1599, -0.055000, -1116.000000
24, 0.300000, 1599, -0.036250, -1072.000000
25, 0.300000, 1599, 0.005000, -1064.000000
26, 0.300000, 1599, -0.017500, -1172.000000
27, 0.300000, 1599, 0.033750, -1076.000000
28, 0.300000, 1599, 0.051250, -1140.000000
29, 0.300000, 1599, 0.078750, -1224.000000
30, 0.300000, 1599, 0.110000, -1100.000000
31, 0.300000, 1599, 0.110000, -1188.000000
32, 0.300000, 1599, 0.120000, -1156.000000
33, 0.300000, 1599, 0.053750, -1040.000000
34, 0.300000, 1599, 0.047500, -1236.000000
35, 0.300000, 1599, 0.048750, -1024.000000
36, 0.300000, 1599, 0.053750, -1124.000000
37, 0.300000, 1599, 0.060000, -1096.000000
38, 0.300000, 1599, 0.097500, -1204.000000
39, 0.300000, 1599, 0.117500, -1208.000000
40, 0.300000, 1599, 0.205000, -1292.000000
41, 0.300000, 1599, 0.170000, -1180.000000
42, 0.300000, 1599, 0.057500, -1196.000000
43, 0.300000, 1599, 0.045000, -1288.000000
44, 0.300000, 1599, 0.082500, -1316.000000
45, 0.300000, 1599, 0.096250, -1196.000000
46, 0.300000, 1599, 0.091250, -1248.000000
47, 0.300000, 1599, 0.038750, -1204.000000
48, 0.300000, 1599, 0.005000, -1092.000000
49, 0.300000, 1599, 0.002500, -1160.000000
50, 0.300000, 1599, -0.016250, -1140.000000
