sweep, beta, subsystem_id, M, E/J
0, 0.300000, 5721, -1.000000, -3200.000000
1, 0.300000, 5721, -0.837500, -2360.000000
2, 0.300000, 5721, -0.718750, -1944.000000
3, 0.300000, 5721, -0.605000, -1676.000000
4, 0.300000, 5721, -0.570000, -1572.000000
5, 0.300000, 5721, -0.483750, -1496.000000
6, 0.300000, 5721, -0.378750, -1356.000000
7, 0.300000, 5721, -0.300000, -1232.000000
8, 0.300000, 5721, -0.276250, -1172.000000
9, 0.300000, 5721, -0.253750, -1264.000000
10, 0.300000, 5721, -0.260000, -1172.000000
11, 0.300000, 5721, -0.245000, -1236.000000
12, 0.300000, 5721, -0.137500, -1256.000000
13, 0.300000, 5721, -0.076250, -1212.000000
14, 0.300000, 5721, -0.041250, -1240.000000
15, 0.300000, 5721, -0.051250, -1148.000000
16, 0.300000, 5721, -0.118750, -1052.000000
17, 0.300000, 5721, -0.056250, -1116.000000
18, 0.300000, 5721, -0.018750, -1112.000000
19, 0.300000, 5721, 0.016250, -1140.000000
20, 0.300000, 5721, 0.020000, -1040.000000
21, 0.300000, 5721, -0.043750, -1064.000000
22, 0.300000, 5721, -0.032500, -1000.000000
23, 0.300000, 5721, -0.030000, -1000.000000
24, 0.300000, 5721, -0.086250, -1152.000000
25, 0.300000, 5721, -0.092500, -1076.000000
26, 0.300000, 5721, -0.060000, -1128.000000
27, 0.300000, 5721, -0.056250, -968.000000
28, 0.300000, 5721, -0.056250, -1044.000000
29, 0.300000, 5721, -0.053750, -1112.000000
30, 0.300000, 5721, -0.086250, -1096.000000
31, 0.300000, 5721, -0.111250, -1072.000000
32, 0.300000, 5721, -0.048750, -1164.000000
33, 0.300000, 5721, -0.031250, -1160.000000
34, 0.300000, 5721, -0.041250, -1076.000000
35, 0.300000, 5721, -0.083750, -1116.000000
36, 0.300000, 5721, -0.045000, -1136.000000
37, 0.300000, 5721, -0.093750, -1024.000000
38, 0.300000, 5721, -0.018750, -1028.000000
39, 0.300000, 5721, -0.013750, -1008.000000
40, 0.300000, 5721, 0.038750, -1100.000000
41, 0.300000, 5721, 0.000000, -1032.000000
42, 0.300000, 5721, 0.033750, -1136.000000
43, 0.300000, 5721, 0.038750, -1084.000000
44, 0.300000, 5721, -0.041250, -1116.000000
45, 0.300000, 5721, 0.002500, -1064.000000
46, 0.300000, 5721, -0.038750, -1080.000000
47, 0.300000, 5721, -0.053750, -1044.000000
48, 0.300000, 5721, -0.048750, -1116.000000
49, 0.300000, 5721, -0.097500, -1128.000000
50, 0.300000, 5721, -0.060000, -1156.000000
