sweep, beta, subsystem_id, M, E/J
0, 0.300000, 6590, -1.000000, -3200.000000
1, 0.300000, 6590, -0.832500, -2328.000000
2, 0.300000, 6590, -0.720000, -2024.000000
3, 0.300000, 6590, -0.658750, -1736.000000
4, 0.300000, 6590, -0.582500, -1576.000000
5, 0.300000, 6590, -0.485000, -1368.000000
6, 0.300000, 6590, -0.442500, -1288.000000
7, 0.300000, 6590, -0.450000, -1356.000000
8, 0.300000, 6590, -0.330000, -1212.000000
9, 0.300000, 6590, -0.287500, -1288.000000
10, 0.300000, 6590, -0.268750, -1216.000000
11, 0.300000, 6590, -0.271250, -1332.000000
12, 0.300000, 6590, -0.267500, -1284.000000
13, 0.300000, 6590, -0.232500, -1204.000000
14, 0.300000, 6590, -0.201250, -1240.000000
15, 0.300000, 6590, -0.185000, -1120.000000
16, 0.300000, 6590, -0.150000, -1176.000000
17, 0.300000, 6590, -0.137500, -1136.000000
18, 0.300000, 6590, -0.137500, -1104.000000
19, 0.300000, 6590, -0.163750, -1100.000000
20, 0.300000, 6590, -0.090000, -980.000000
21, 0.300000, 6590, -0.085000, -1108.000000
22, 0.300000, 6590, -0.070000, -1144.000000
23, 0.300000, 6590, -0.058750, -1016.000000
24, 0.300000, 6590, -0.006250, -1080.000000
25, 0.300000, 6590, -0.051250, -1028.000000
26, 0.300000, 6590, -0.106250, -1104.000000
27, 0.300000, 6590, -0.088750, -1152.000000
28, 0.300000, 6590, -0.065000, -1080.000000
29, 0.300000, 6590, -0.036250, -1132.000000
30, 0.300000, 6590, -0.002500, -1056.000000
31, 0.300000, 6590, 0.023750, -1120.000000
32, 0.300000, 6590, 0.013750, -1096.000000
33, 0.300000, 6590, 0.046250, -1176.000000
34, 0.300000, 6590, -0.053750, -1180.000000
35, 0.300000, 6590, -0.092500, -1316.000000
36, 0.300000, 6590, -0.090000, -1292.000000
37, 0.300000, 6590, -0.107500, -1112.000000
38, 0.300000, 6590, -0.117500, -1096.000000
39, 0.300000, 6590, -0.152500, -1128.000000
40, 0.300000, 6590, -0.122500, -1056.000000
41, 0.300000, 6590, -0.132500, -1016.000000
42, 0.300000, 6590, -0.122500, -1080.000000
43, 0.300000, 6590, -0.100000, -1112.000000
44, 0.300000, 6590, -0.061250, -1080.000000
45, 0.300000, 6590, -0.028750, -1176.000000
46, 0.300000, 6590, -0.050000, -1132.000000
47, 0.300000, 6590, -0.053750, -1128.000000
48, 0.300000, 6590, -0.062500, -1124.000000
49, 0.300000, 6590, -0.051250, -1052.000000
50, 0.300000, 6590, -0.057500, -1000.000000
