sweep, beta, subsystem_id, M, E/J
0, 0.400000, 207, -1.000000, -3200.000000
1, 0.400000, 207, -0.947500, -2896.000000
2, 0.400000, 207, -0.901250, -2684.000000
3, 0.400000, 207, -0.845000, -2504.000000
4, 0.400000, 207, -0.846250, -2472.000000
5, 0.400000, 207, -0.803750, -2368.000000
6, 0.400000, 207, -0.790000, -2400.000000
7, 0.400000, 207, -0.775000, -2324.000000
8, 0.400000, 207, -0.776250, -2232.000000
9, 0.400000, 207, -0.703750, -2060.000000
10, 0.400000, 207, -0.672500, -2004.000000
11, 0.400000, 207, -0.658750, -2024.000000
12, 0.400000, 207, -0.655000, -2068.000000
13, 0.400000, 207, -0.645000, -2004.000000
14, 0.400000, 207, -0.645000, -2020.000000
15, 0.400000, 207, -0.617500, -2012.000000
16, 0.400000, 207, -0.616250, -2012.000000
17, 0.400000, 207, -0.576250, -1872.000000
18, 0.400000, 207, -0.561250, -1928.000000
19, 0.400000, 207, -0.537500, -1876.000000
20, 0.400000, 207, -0.538750, -1960.000000
21, 0.400000, 207, -0.492500, -1844.000000
22, 0.400000, 207, -0.470000, -1744.000000
23, 0.400000, 207, -0.463750, -1808.000000
24, 0.400000, 207, -0.427500, -1700.000000
25, 0.400000, 207, -0.363750, -1720.000000
26, 0.400000, 207, -0.358750, -1644.000000
27, 0.400000, 207, -0.398750, -1704.000000
28, 0.400000, 207, -0.375000, -1824.000000
29, 0.400000, 207, -0.387500, -1888.000000
30, 0.400000, 207, -0.398750, -1872.000000
31, 0.400000, 207, -0.403750, -1816.000000
32, 0.400000, 207, -0.422500, -1784.000000
33, 0.400000, 207, -0.422500, -1840.000000
34, 0.400000, 207, -0.415000, -1792.000000
35, 0.400000, 207, -0.426250, -1904.000000
36, 0.400000, 207, -0.403750, -1800.000000
37, 0.400000, 207, -0.407500, -1776.000000
38, 0.400000, 207, -0.408750, -1736.000000
39, 0.400000, 207, -0.367500, -1752.000000
40, 0.400000, 207, -0.378750, -1676.000000
41, 0.400000, 207, -0.405000, -1776.000000
42, 0.400000, 207, -0.407500, -1908.000000
43, 0.400000, 207, -0.397500, -1736.000000
44, 0.400000, 207, -0.367500, -1664.000000
45, 0.400000, 207, -0.355000, -1632.000000
46, 0.400000, 207, -0.337500, -1736.000000
47, 0.400000, 207, -0.308750, -1768.000000
48, 0.400000, 207, -0.307500, -1784.000000
49, 0.400000, 207, -0.312500, -1764.000000
50, 0.400000, 207, -0.341250, -1796.000000
